,Headlines,sentiment
0,Former Koshi Province minister Lila Ballav Adhikari arrested,
1,President Paudel leaving for Baku today,
2,MP Manange to surrender only after full verdict released,
3,PM Oli congratulates US President-elect Trump,
4,President Paudel to Depart for Azerbaijan to attend COP29,
5,Local level by-elections: Vacant posts and locations announced,
6,Court grants 10-day custody extension for Rabi Lamichhane,
7,"Prime Minister Oli unwell, resting at Baluwatar residence",
8,Tear gas fired at Rastriya Swatantra Party protesters in Pokhara (Photos),
9,US Presidential Election: Could Nepali immigrants’ votes be decisive?,
10,Rabi Lamichhane and Chhabilal Joshi to appear in court today,
11,"PM Oli prepares for China visit, requests updates on BRI Projects",
12,"Health Minister for expanding scope of insurance, price adjustment of medicines",
13,COP-29: President Paudel scheduled to attend Global Climate Summit,
14,Rabi Lamichhane remanded for 7 more days in Cooperative Fraud Case,
15,3 ministers sworn in as Lumbini expands cabinet to 11 members,
16,Rabi Lamichhane’s fear: Preparations underway to keep him detained longer,
17,"Finance Minister Poudel, and ADB Vice President meet",
18,Kaski Court grants 6-day judicial custody for Rabi Lamichhane,
19,"Rabi Lamichhane accuses government of framing false charges, expresses confidence in Judiciary",
20,Visiting Chinese delegation calls on PM Oli,
21,Former DPM Lamichhane to be presented before court today,
22,All NA personnel in peacekeeping mission in Lebanon safe: NA,
23,Minister Rana directs ensuring safety of Nepalis in Lebanon and Israel,
24,President offers worship at Dakshinkali temple,
25,"Home Minister Lekhak visits disaster-hit Bhumidanda, Bethanchowk",
26,Prime Minister and Bangladeshi Minister discuss energy cooperation,
27,PM’s arrival disrupts flights for 30 minutes at airport,
28,Prime Minister Oli Meets US President Biden,
29,Barsa Man and Janardan face off in ANNFSU (Revolutionary),
30,Meeting between PM Oli and the head of Interim government of Bangladesh,
31,Foreign Minster Dr Rana holds meeting with UN Under-Secretary-General Khare,
32,PM Oli urges Nepali youths living abroad to return home for employment creation,
33,PM Oli meets with UNSG Guterres,
34,Report on cooperative embezzlement investigation made public,
35,Prakash Man Singh appointed as Acting Prime Minister,
36,Parliament approves 16 ambassador nominations,
37,PM Oli leaving for New York today,
38,Prime Minister Oli Leaving for New York on Friday,
39,Constitution Day celebrated at Army Pavilion (Photos),
40,"Rastriya Swatantra Party membership reaches 140,000 in just 26 months",
41,Parliament forwards cooperative investigation report to government,
42,Cooperative fund misuse report to be presented in Parliament,
43,Federal parliament meeting today,
44,"Norwegian parliamentary delegation visits Nepal, discusses bilateral cooperation",
45,Election for NA Committee chairs to be held on September 16,
46,Issues raised in the Nepali Congress’s constitutional amendments,
47,Rabi Lamichhane acknowledges misuse of cooperative funds at Gorkha Media,
48,UML Ministers join Gandaki Province,
49,Ek Narayan Aryal appointed as Chief Secretary,
50,10 countries welcome endorsement of TJ Bill,
51,Rabi Lamichhane testifies: GB rejected Rs 250 million bank loan for Galaxy TV,
52,"Rakam Chemjong appointed Co-Chair of JSP-Nepal, Lal Babu Raut named General Secretary",
53,UML requests to revoke ban on construction along Kathmandu’s riverbanks,
54,Cooperative Fraud Investigation Committee to Question Rabi Lamichhane Today,
