s.n,Headlines,sentiment
0,EU Commissioner Jutta Urpilainen meets PM Dahal,1
1,Nepal to send medical team and essential items to quake-hit Turkey,1
2,Apex court tells govt to review Gurkha recruitment deal,0
3,Afreen Akhter is next as the US sends a diplomat to Nepal almost every week,0
4,"Samantha Power, USAID chief, in Nepal on another high-level visit from the US",1
5,Urmila Aryal elected National Assembly vice-chair unopposed,1
6,Rastriya Swatantra Party to leave government,0
7,"Jutta Urpilainen, European commissioner for international partnerships, coming to Nepal",1
8,UK promises help to Nepal graduate to developing country,1
9,Kailali court sends MP Arun Kumar Chaudhary to jail as he doesn’t choose the fine option,0
10,"Arun Kumar Chaudhary, Nagarik Unmukti lawmaker, arrested over a 13-yr old case",0
11,Information Commission wants ‘secrecy’ removed from the officials’ oath of office,0
12,In defence of Balen Shah: Why Kathmandu mayor needs your support now,1
13,Govt plans to build a house for Bidya Devi Bhandari on her private land post-retirement,1
14,"Arun Kumar Chaudhary, Nagarik Unmukti lawmaker, was a fugitive, may get arrested anytime",0
15,Govt prepares dedicated law to control conflict of interest,1
16,"Nepal presidential election on March 9, 2023",1
17,US Undersecretary Victoria Nuland discusses bilateral ties with Nepal PM,1
18,Rabi Lamichhane citizenship-passport controversy: Your 7 FAQs answered,0
19,Rabi Lamichhane obtains Nepali citizenship,1
20,"Rabi Lamichhane citizenship row: Court scraps parliament, cabinet membership",0
21,Ministry forms task force to find solutions to current public transport issues,1
22,Ghanashyam Bhusal to replace Beduram Bhusal as CPN-Unified Socialist general secretary,1
23,"Victoria Nuland, high US official, visiting Nepal soon",1
24,7 things Nepal’s new foreign minister should prioritise,1
25,Haribol Gajurel is PM Dahal’s chief political advisor,1
26,Min Bahadur Shrestha appointed National Planning Commission vice-chairperson,1
27,‘Supreme Court will soon start an online case registration system’,1
28,Why is Balen Shah running away from questions?,0
29,Indira Rana Magar elected House of Representatives deputy speaker,1
30,"Indira Rana Magar, Mukta Kumari Yadav contesting for House deputy speaker",1
31,Dev Raj Ghimire takes oath as the House speaker after renouncing UML affiliation,1
32,Dev Raj Ghimire of the UML elected House of Representatives speaker,1
33,Election Commission opens online applications for new voter registration and update,1
34,"Dev Raj Ghimire, UML and Ishwari Neupane, Congress contesting for House speaker",1
35,Pokhara plane crash: Turkish president condoles with Nepal,0
36,Baburam Bhattarai: A promising personality lost in the lust for power,0
37,Pushpa Kamal Dahal cabinet gets almost full shape. Here’s the list,1
38,"Chen Song, new Chinese ambassador to Nepal, calls on PM ",1
39,Govt commissions 5-member team to investigate Pokhara plane crash,1
40,"Can Nepal adopt the directly elected presidential system? For now, wait and watch",0
41,Ghanashyam Bhusal joining CPN-Unified Socialist,1
42,All provinces have new governments now,1
43,"New chief ministers appointed in Madhesh, Lumbini",1
44,House of Representatives Speaker’s election on January 19,1
45,Prithvi Jayanti: Why does the National Unity Day divide Nepal every year?,1
46,268 vs 2: Pushpa Kamal Dahal wins vote of confidence,0
47,"Nepal, US begin joint military exercise in Kathmandu",0
48,No main opposition!: Nepali Congress gives PM Pushpa Kamal Dahal a confidence vote,1
49,Can’t remove landless squatters’ settlements from Kathmandu: Home Ministry tells city govt,0
50,Prithvi Jayanti holiday is back after 15 years,1
51,How Nepal’s new Pokhara airport might fall prey to India-China tussle,0
52,Bagmati and Gandaki get new provincial governments,1
53,Federal system in Nepal faces big challenges amid growing disenchantment,0
54,Hikmat Karki of UML set to become Province 1 chief minister,1
55,"Chen Song, new Chinese ambassador to Nepal, arrives in Kathmandu",1
56,"Nagarik Unmukti, Janamat parties forge an alliance that ‘may lead them to unification’",0
57,Failed: UML wanted Rekha Sharma become the VP to bring Shankar Pokhrel to House,0
58,National Assembly by-election on February 8,1
59,Balen Shah files case at Supreme Court against Election Commission,0
60,"Unified Socialist, betrayed by the Maoists, launches merger talks with the JSPN",0
61,Independent lawmaker Kiran Kumar Sah joins UML,1
62,Either Chhabilal Bishwakarma or Prithvi Subba Gurung likely to be the next House speaker,1
63,PM Dahal to seek vote of confidence on January 10,1
64,PM tells Election Commission to proceed with the presidential election,1
65,"Good, bad and ugly of Sher Bahadur Deuba: How do his decisions impact Nepal’s democracy?",0
66,"Nijgadh is next, says PM Dahal after inaugurating Pokhara airport",0
67,"Prabhu Sah announced a new party, but it’ll soon merge into the Maoist Centre",0
68,Rabi Lamichhane tells police not to please politicians for transfers or promotions,1
69,"Attorney General Din Mani Pokharel takes oath, assumes office",1
70,"Rabi Lamichhane’s Home Ministry restricts security officials from meeting politicians, diplomats",0
71,Oli to lead Dahal government’s common minimum programme draft process,0
72,2022 review: 12 notable happenings in Nepali politics in the past 12 months,0
73,Why does Lalitpur leadership continue discrimination against the wards outside the ring road?,0
74,New House to convene first meeting on January 9,1
75,"Election Commission preparing for the elections of president, vice-president",1
76,Former PM Sher Bahadur Deuba to live in rented house for the next few months,1
77,Din Mani Pokharel nominated for the post of attorney general,1
78,"Dahal cabinet’s first decision: Make passport, driving licence distribution hassle-free",0
79,"PM Pushpa Kamal Dahal, 3 DPMs, 4 ministers sworn in: Here’s the full list of Dahal’s new team",1
80,Who is Nepal’s new PM Pushpa Kamal Dahal ‘Prachanda’? 9 facts you should know,0
81,Resham Chaudhary calls party meeting inside the jail,0
82,"India, China congratulate PM Pushpa Kamal Dahal, look forward to better ties with Nepal",1
83,Pushpa Kamal Dahal appointed Nepal PM with the support of 169 lawmakers,1
84,Pushpa Kamal Dahal set to become Nepal PM as Oli turns the tables in his favour,0
85,2 new lawmakers suspended from parliamentary duties,0
86,How Jubeda Khatun leapfrogged from school to parliament in a span of 7 years,1
87,Bagmati CM Rajendra Pandey resigns after criticism,0
88,New lawmakers take oath of office,1
89,Senior-most member of House Pashupati Shamsher Rana takes oath of office,1
90,Sher Bahadur Deuba elected Nepali Congress parliamentary party leader,1
91,Maoist Centre central committee member Badri Bajgain suspended on charges of sexual abuse,0
92,Former Australian prime minister Kevin Rudd appointed as ambassador to USA,1
93,Gagan Thapa is Deuba’s sole rival in Nepali Congress PP poll,1
94,"New lawmakers’ oath ceremony on Thursday, says Parliament Secretariat",1
95,New government in Nepal: President calls parties to claim premiership in 7 days,1
96,Parliament Secretariat adopting e-attendance to make MPs give more time in House,1
97,Do the results of the federal elections 2022 motivate a new political wave in Nepal?,1
98,Chitra Bahadur KC and his exceptional life as a lawmaker in Nepal,1
99,Election Commission submits election report to president,1
100,Writ filed against Rabi Lamichhane calling for his removal as lawmaker,0
101,Ministry of Finance agrees to remove 30-year service period in Nepal Police,1
102,Cholendra Shamsher Rana’s forgettable reign as chief justice has a lot of lessons for the future,1
103,Doctored images and out-of-context videos spread misinformation during Nepal elections,0
104,Caretaker government brings ordinance to release Resham Chaudhary,1
105,Turkey to open embassy in Nepal,1
106,EC investigating proportional representation list,1
107,"CJ Rana impeachment cancellation: Put it on hold, says Supreme Court",0
108,Indian ambassador meeting major leader raises eyebrows,0
109,Nepal’s new parliament is professionally diverse. What impacts will it have?,1
110,India agrees to stop constructing embankment near disputed area in Mahakali river,0
111,"Proportional representation votes counted, 7 parties become national parties",1
112,Bar files petition against CJ Rana impeachment motion annulment (Updated),0
113,New government in Nepal: 6 things to know about how the administration changes after elections,0
114,Lumbini Province Chief Minister’s Office shifted to Bhalubang overnight,0
115,"Nepal, India discuss resolving the Mahakali embankment dispute",1
116,Deepak Manange joins Unified Socialist,0
117,Political strategists can change Nepal’s election culture. How do they work anyway?,1
118,8 things you should know about the 2022 Nepal election results,0
119,6 things Rastriya Swatantra Party should do to retain people’s trust,1
120,Why low voter turnout is threatening Nepal’s democracy,0
121,Bajura ward chair arrested on the charge of voting-day murder,0
122,"As Nepal elects a hung parliament after 28 yrs, the ghost of the past haunts stakeholders",1
123,"No revote in Bajura, Syangja 2: Election Commission",0
124,Tharu community won’t get separate quota reserved in civil service from now onwards,1
125,Final election results will come out in Dec 3rd week at the earliest,1
126,Dolakha: 10 voting centres to go on a revote Thursday,1
127,Who will lead the new government in Nepal? Here are 3 possibilities,1
128,Gagan Thapa-Bishwa Prakash Sharma bond: Can it trigger a generational shift in Nepali Congress?,1
129,Left alliance in the making? What did Oli tell Dahal in the ice-breaking phone call?,0
130,What CK Raut’s presence in Parliament means to the Madheshi politics,1
131,Rastriya Swatantra Party looks forward to a difficult path. How shall it move ahead?,1
132,Sagar Dhakal: Will contest again in Dadeldhura after 5 yrs,1
133,"Nepal elections: Nepali Congress, Swatantra Party likely to become biggest forces in Kathmandu",0
134,Japan’s State Minister for Foreign Affairs meets chief election commissioner Thapaliya,1
135,Rabi Lamichhane’s Rastriya Swatantra Party gives a blow to biggies as vote count begins,1
